,Year,Month,Season,Weekly_Sales
0,2010,1,Winter,938663.9082222221
1,2010,2,Winter,1064371.5592777778
2,2010,3,Spring,1034590.1176666667
3,2010,4,Spring,1021176.6081666667
4,2010,5,Spring,1039303.2722592592
5,2010,6,Summer,1055082.086222222
6,2010,7,Summer,1023701.9757222222
7,2010,8,Summer,1025211.588888889
8,2010,9,Autumn,998355.8929444444
9,2010,10,Autumn,1027200.6317777778
10,2010,11,Autumn,1176097.2899259261
11,2010,12,Winter,1198413.3682222222
12,2011,1,Winter,942069.7322222223
13,2011,2,Winter,1042273.354
14,2011,3,Spring,1011263.1061481482
15,2011,4,Spring,1033219.6745925925
16,2011,5,Spring,1015564.8157777778
17,2011,6,Summer,1038471.2195555555
18,2011,7,Summer,997604.8520888889
19,2011,8,Summer,1044894.5925
20,2011,9,Autumn,1026810.0571111111
21,2011,10,Autumn,1020662.9413888889
22,2011,11,Autumn,1126534.767822222
23,2011,12,Winter,1274310.9305555555
24,2012,1,Winter,956781.6635
25,2012,2,Winter,1057997.025925926
26,2012,3,Spring,1025509.6402666667
27,2012,4,Spring,1014126.6000555555
28,2012,5,Spring,1053948.458074074
29,2012,6,Summer,1082919.5092222223
30,2012,7,Summer,1025480.4990555557
31,2012,8,Summer,1064514.3714444446
32,2012,9,Autumn,998866.3292777778
33,2012,10,Autumn,1044885.4767777778
34,2012,11,Autumn,1042797.3108888889
35,2012,12,Winter,1025078.0944444444
