Month,2010,2011,2012
1,938663.9082222221,942069.7322222223,956781.6635
2,1064371.5592777778,1042273.354,1057997.025925926
3,1034590.1176666667,1011263.1061481482,1025509.6402666667
4,1021176.6081666667,1033219.6745925925,1014126.6000555555
5,1039303.2722592592,1015564.8157777778,1053948.458074074
6,1055082.086222222,1038471.2195555555,1082919.5092222223
7,1023701.9757222222,997604.8520888889,1025480.4990555557
8,1025211.588888889,1044894.5925,1064514.3714444446
9,998355.8929444444,1026810.0571111111,998866.3292777778
10,1027200.6317777778,1020662.9413888889,1044885.4767777778
11,1176097.2899259261,1126534.767822222,1042797.3108888889
12,1198413.3682222222,1274310.9305555555,1025078.0944444444
